GUID клиента,Сегмент клиента,Описание,ai_type,ai_sentiment,ai_priority,ai_language,ai_summary,client_lat,client_lon,nearest_office,assigned_manager
b44f142b-78c5-4573-9bde-fe0780b2e028,Mass,nan,Неработоспособность приложения,Негативный,9.0,RU,Клиент столкнулся с ошибкой отправки приказа на покупку акций PLTR.US. Рекомендуется проверить статус торгового счета и повторить попытку.,42.3146962,69.5883282,Шымкент,Менеджер 14
b135ab3e-b8ef-f011-8406-0022481ba303,Mass,"Добрый вечер. 
Проблема со входом на брокерский счет,просрочено уд.личности.Изменить данные
смосьоятельно не получается,...",Смена данных,Нейтральный,6.0,RU,Клиент просит изменить данные в связи с просрочением удостоверения личности. Рекомендуется проверить документы и выполнить необходимые действия для обновления информации.,42.1837666,69.8490678,Шымкент,Менеджер 44
a9f07a3d-a905-f111-8407-0022481baec1,Mass,FW: Смена номера телефона,Смена данных,Нейтральный,6.0,RU,Клиент запросил смену номера телефона. Рекомендуется проверить личность клиента и выполнить обновление контактной информации.,43.6353364,51.168222,Актау,Менеджер 20
a154a8e6-439d-4a7b-86e8-56ef94b18ee2,VIP,Добрый день! Часто замечаю у вас неправильные показатели динамики бумаг. Когда исправите?,Жалоба,Негативный,6.0,RU,"Клиент сообщает о некорректных показателях динамики бумаг. Рекомендуется проверить и обновить данные, а также провести анализ источника проблемы.",49.9433067,82.6240345,Усть-Каменогорск,Менеджер 42
9c0a1f1e-6702-f111-8407-0022481ba15f,Priority,"Добрый день! Мне нужен номер налогоплательщика Вашей кампании. Для уведомления
своего налогового органа об открытии инос...",Консультация,Нейтральный,5.0,RU,Клиент запрашивает информацию о налогоплательщике компании для целей уведомления налогового органа. Рекомендуется направить клиенту контактную информацию для получения необходимых документов.,43.5142687,68.5164846,Шымкент,Менеджер 44
8de250d3-eef5-f011-8406-0022481bac13,Mass,"Здравствуйте. Прошу проверить ваши ли это сертификат и люди, не мошенники ли?",Консультация,Нейтральный,5.0,RU,Клиент запрашивает проверку сертификата и информации о сотрудниках. Рекомендуется направить его в соответствующий отдел для проверки и подтверждения информации.,52.0354244,76.9341133,Павлодар,Менеджер 47
85c96430-f0e9-f011-8406-0022481ba51f,VIP,"Добрый день. Не могу войти в свой аккаунт Пароль не принимает я
попытался восстановить пароль через имейл код в e-mail н...",Неработоспособность приложения,Негативный,9.0,RU,Клиент не может войти в аккаунт из-за проблем с восстановлением пароля через имейл и СМС. Рекомендуется проверить настройки безопасности и связь с сервером авторизации.,43.1725242,76.758557,Алматы,Менеджер 11
80c6ed25-45f0-f011-8406-0022481ba5f0,Mass,"
Добрый день!
Не удаётся зарегистрироваться в приложении Freedom broker. Нахожусь на первом шаге: ввожу почту и пароль -...",Неработоспособность приложения,Нейтральный,6.0,RU,Клиент не может зарегистрироваться в приложении Freedom broker из-за ошибки на первом шаге. Рекомендуется проверить подключение VPN и обратиться к технической поддержке для решения проблемы.,49.7976195,72.8264488,Караганда,Менеджер 1
6f860ff9-cc01-f111-8407-0022481ba3d1,VIP,"Я на вас в суд подам! Верните мои деньги
Два раза списали комиссию по $25 за 1 транзакцию. ",Претензия,Негативный,9.0,RU,Клиент требует возврата средств из-за двойного списания комиссии. Рекомендуется проверить транзакцию и принять меры для возврата средств.,49.935421,73.284676,Караганда,Менеджер 22
6f129f43-ecfa-f011-8406-0022481bad7e,Mass,"Hello,

I am trying to complete my account verification, but my proof of address keeps
getting rejected only because it ...",Консультация,Нейтральный,6.0,ENG,Клиент испытывает трудности с верификацией адреса из-за языка документа. Рекомендуется рассмотреть возможность принятия альтернативных документов или ручного рассмотрения.,43.2501665,76.8792731,Алматы,Менеджер 15
68086831-220b-f111-8407-0022481baa2c,Mass,"RE: Саламатсыздарма, қандай облигация теңгеге алуға болады? Рахмет! ",Консультация,Позитивный,6.0,KZ,Клиент интересуется информацией об облигациях и их покупке. Рекомендуется предоставить общую информацию об облигациях и их видах.,48.5610249,51.7478775,Атырау,Менеджер 23
6396447c-daf1-f011-8406-0022481ba303,Mass,"Hello, im blocked in your app. Reason to much try to add the documents of
address registration i think. Please un block ...",Неработоспособность приложения,Нейтральный,6.0,RU,Клиент заблокирован в приложении после нескольких попыток добавить документы регистрации адреса. Рекомендуется проверить статус блокировки и предоставить клиенту инструкции по разблокировке.,42.284161,69.5904403,Шымкент,Менеджер 14
5d29d98c-55fb-f011-8406-0022481baa2c,Mass,"FW: Менде облигация сатып алуға бұйрық орындалмау да, неге?",Жалоба,Негативный,9.0,KZ,Клиент жалуется на невыполнение биржевого ордера на покупку облигации. Рекомендуется проверить статус ордера и связаться с клиентом для уточнения причин.,50.888058,79.480721,Павлодар,Менеджер 6
591d3e1d-ebf8-f011-8406-0022481ba046,Mass,"Hey, there. 
I am from Ukraine, and I am trying to upload the document that proves my
registration address. However, the...",Консультация,Нейтральный,6.0,ENG,"Клиент из Украины испытывает трудности с загрузкой документа, подтверждающего адрес регистрации, из-за языка. Рекомендуется предоставить документ на английском языке или найти альтернативное решение для верификации.",41.2725644,67.9810561,Шымкент,Менеджер 27
493fd23b-ad01-f111-8407-0022481baec1,Mass,"Уважаемые коллеги!

Московская биржа и АО ""ПЕРВОУРАЛЬСКБАНК"" приглашают вас 5 февраля в 15:00 на
мероприятие

ПЕРВОУРАЛЬ...",Консультация,Нейтральный,1.0,RU,"Запрос не относится к деятельности компании, представляет собой рекламу мероприятия ПЕРВОУРАЛЬСКБАНКА.",43.9542302,77.0228552,Алматы,Менеджер 18
4071842c-10df-f011-8406-0022481ba2e6,Mass,"125$ не пришло на счет. Верните деньги!

________
Best Regards,
Gregory",Жалоба,Негативный,9.0,RU,Клиент не получил 125$ на счет и требует возврата средств. Рекомендуется проверить транзакцию и связаться с клиентом для решения проблемы.,43.448711,78.674431,Алматы,Менеджер 15
3692ae0e-f5ef-f011-8406-0022481ba5f0,Mass,Sms не приходят! Решите уже мою проблему!!! Я требую повысить приоритет обращению и решить в течение часа,Неработоспособность приложения,Негативный,9.0,RU,Клиент не получает SMS-уведомления. Рекомендуется проверить настройки уведомлений и связь с оператором связи.,52.0354244,76.9341133,Павлодар,Менеджер 6
2a99d51e-7dfb-f011-8406-0022481bac13,Mass,Men ruyxatdan utolmayapman sabab nima ,Неработоспособность приложения,Негативный,9.0,RU,Клиент не может войти в приложение. Рекомендуется проверить версию приложения и обратиться в поддержку для решения проблемы.,43.2903619,68.2584079,Шымкент,Менеджер 37
16a8690e-4aec-f011-8406-0022481bad7e,VIP,"Здравствуйте! Вчера не смог произвести оплату картой привязанной к D счету. В
банке сказали проблем на их стороне нет и ...",Консультация,Нейтральный,6.0,RU,"Клиент не смог произвести оплату картой, привязанной к Д-счету, и обратился за консультацией. Рекомендуется проверить статус счета и карты, а также предоставить подробную информацию о проблеме для дальнейшего решения.",49.8421549,73.1063206,Караганда,Менеджер 43
136d32a0-bafd-f011-8406-0022481ba51f,Mass,"Ваша компания ведет себя как мошенническая структура. Перевод на сумму
200 EUR из Sparkasse до сих пор не на моем счету....",,,,,"Не удалось получить валидный JSON после 3 попыток. Последняя ошибка: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01kj09yktsfdrrfd8q2pj10kx2` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99581, Requested 842. Please try again in 6m5.472s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",42.3748932,69.6504625,Шымкент,Менеджер 27
117af0c4-cb00-f111-8407-0022481ba51f,VIP,"Срочно срочно срочно 
Прошу вас удалить мои персональные данные,отзываю согласие на их обработку и
прекратить любые звон...",,,,,"Не удалось получить валидный JSON после 3 попыток. Последняя ошибка: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01kj09yktsfdrrfd8q2pj10kx2` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99579, Requested 667. Please try again in 3m32.543999999s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",49.8421549,73.1063206,Караганда,Менеджер 22
